"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"16. Estimated % of BLM range acres with HF >= 4",8,"MT","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"MT","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"NV","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"NV","2",0.52,0.54,1.022,0,1.21,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"NM","2",23.36,7.09,0.304,14.27,32.45,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"OR","1",0.48,0.48,1.007,0,1.09,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"OR","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"SD","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"UT","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"UT","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"WA","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"WY","1",0.42,0.42,1.001,0,0.95,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"16. Estimated % of BLM range acres with HF >= 4",8,"WY","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"BLM","NA",3793871,1172108,0.309,2291753,5295988,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"AZ","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"CA","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"CA","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"CO","1",37762,37953,1.005,0,86401,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"CO","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"ID","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"ID","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"MT","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"MT","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"NV","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"NV","2",178420,181235,1.016,0,410682,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"NM","2",3458302,1155172,0.334,1977890,4938714,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"OR","1",51941,52344,1.008,0,119023,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"OR","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"SD","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"UT","1",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"UT","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"WA","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"WY","1",67445,67517,1.001,0,153971,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"18. Estimated BLM range acres with HF >= 4",8,"WY","2",0,0,0,0,0,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"BLM","NA",91.52,1.24,0.014,89.94,93.11,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"AZ","2",100,0,0,100,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"CA","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"CA","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"CO","1",94.59,4.12,0.044,89.3,99.87,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"CO","2",100,0,0,100,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"ID","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"ID","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"MT","1",98.57,1.01,0.01,97.28,99.85,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"MT","2",24.17,34.99,1.448,0,69.02,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"NV","1",98.47,1.13,0.012,97.01,99.92,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"NV","2",97.38,1.76,0.018,95.13,99.63,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"NM","2",39.28,8.8,0.224,28.01,50.55,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"OR","1",97.6,1.38,0.014,95.83,99.37,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"OR","2",100,0,0,100,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"SD","2",100,98.26,0.983,0,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"UT","1",96.42,3.91,0.041,91.4,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"UT","2",99.78,0.25,0.003,99.46,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"WA","2",100,98.26,0.983,0,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"WY","1",95.11,1.43,0.015,93.28,96.95,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"19. Estimated % of BLM range acres with SSS <= 2",9,"WY","2",88.55,16.03,0.181,68.01,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"BLM","NA",136343122,2339509,0.017,133344921,139341322,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"AZ","2",12639885,1312594,0.104,10957728,14322042,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"CA","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"CA","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"CO","1",1584139,174601,0.11,1360380,1807899,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"CO","2",6072375,459708,0.076,5483236,6661514,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"ID","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"ID","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"MT","1",6889515,180097,0.026,6658711,7120318,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"MT","2",265251,361880,1.364,0,729020,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"NV","1",14616801,365130,0.025,14148868,15084734,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"NV","2",33177809,1941816,0.059,30689271,35666346,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"NM","2",5815435,1317212,0.227,4127360,7503510,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"OR","1",10620985,260496,0.025,10287147,10954824,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"OR","2",4731325,645664,0.136,3903873,5558777,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"SD","2",790060,776415,0.983,0,1785077,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"UT","1",1133715,171680,0.151,913697,1353732,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"UT","2",19481907,1188654,0.061,17958586,21005228,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"WA","2",346327,340303,0.983,0,782442,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"WY","1",15419119,338283,0.022,14985592,15852647,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"21. Estimated BLM range acres with SSS <= 2",9,"WY","2",2758474,692877,0.251,1870517,3646431,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"BLM","NA",5.89,0.91,0.154,4.72,7.05,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"AZ","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"CA","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"CA","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"CO","1",5.41,4.12,0.762,0.13,10.7,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"CO","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"ID","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"ID","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"MT","1",1.43,1.01,0.701,0.15,2.72,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"MT","2",50.48,22.73,0.45,21.34,79.61,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"NV","1",1.53,1.13,0.74,0.08,2.99,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"NV","2",2.62,1.76,0.67,0.37,4.87,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"NM","2",37.36,7.66,0.205,27.55,47.17,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"OR","1",1.92,1.14,0.592,0.46,3.38,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"OR","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"SD","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"UT","1",3.58,3.91,1.091,0,8.6,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"UT","2",0.22,0.25,1.12,0,0.54,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"WA","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"WY","1",4.47,1.43,0.32,2.64,6.31,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"22. Estimated % of BLM range acres with SSS = 3",10,"WY","2",11.45,16.03,1.4,0,31.99,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"BLM","NA",8772264,1374572,0.157,7010680,10533848,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"AZ","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"CA","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"CA","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"CO","1",90662,68749,0.758,2557,178768,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"CO","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"ID","1",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"ID","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"MT","1",100253,70092,0.699,10426,190079,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"MT","2",553910,350473,0.633,104761,1003059,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"NV","1",227568,168236,0.739,11966,443171,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"NV","2",892889,585477,0.656,142569,1643208,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"NM","2",5530738,1192355,0.216,4002673,7058802,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"OR","1",208965,124384,0.595,49561,368369,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"OR","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"SD","2",0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"UT","1",42149,47989,1.139,0,103649,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
"24. Estimated BLM range acres with SSS = 3",10,"UT","2",43621,48231,1.106,0,105431,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","2020"
