"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"3. Estimated BLM range acres with BI <= 2",1,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CO","1",1581161,150602,0.095,1388157,1774166,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CO","2",6072375,459708,0.076,5483236,6661514,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"ID","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"MT","1",6787224,216302,0.032,6510022,7064426,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"MT","2",821661,450567,0.548,244236,1399086,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"NV","1",14303991,403802,0.028,13786498,14821484,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"NV","2",33003526,1837411,0.056,30648790,35358263,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"NM","2",3706804,1239313,0.334,2118561,5295048,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"OR","1",10292906,333952,0.032,9864929,10720884,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"OR","2",4731325,645664,0.136,3903873,5558777,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"SD","2",790060,776415,0.983,0,1785077,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"UT","1",1133715,171680,0.151,913697,1353732,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"UT","2",19525528,1193594,0.061,17995875,21055180,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"WA","2",346327,340303,0.983,0,782442,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"WY","1",15959657,353546,0.022,15506569,16412745,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"WY","2",3115182,536798,0.172,2427248,3803116,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"BLM","NA",6.44,1.14,0.177,4.98,7.91,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"AZ","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"CO","1",5.59,4.28,0.765,0.11,11.07,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"CO","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"ID","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"MT","1",2.9,1.79,0.619,0.6,5.2,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"MT","2",25.12,36.28,1.444,0,71.62,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"4. Estimated % of BLM range acres with BI = 3",2,"NV","1",3.64,2.15,0.591,0.88,6.4,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
