"","Vars","Indicator","State","Type","NResp","Year"
"1","38. Number of BLM range points that meet this condition",17,"BLM","NA","890","2020"
"2","38. Number of BLM range points that meet this condition",17,"BLM","1","628","2020"
"3","38. Number of BLM range points that meet this condition",17,"BLM","2","262","2020"
"4","41. Number of BLM range points that meet this condition",18,"BLM","NA","270","2020"
"5","41. Number of BLM range points that meet this condition",18,"BLM","1","166","2020"
"6","41. Number of BLM range points that meet this condition",18,"BLM","2","104","2020"
