"","Ecoregion","Year","Indicator_Name","Indicator_Number","Ecoregion_name","Value","SE","CV","CI_Lower","CI_Upper","Indicator","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption","BLM.Sample","BLM.Acres","Value2","CI_Lower2","CI_Upper2","Flag"
"11","All BLM Range","2011","43. Estimated % of BLM range acres that meet this condition",18,"All.BLM.Range",41.15,2.07,0.05,38.5,43.8,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 20% of land having intercanopy gaps of at least 2 meters (80% confidence interval) ",35,"Proportion of BLM rangelands with at least 20% of land having intercanopy gaps of at least 2 meters (80% confidence interval) ","",1079,151105636,41.15,38.5,43.8,NA
"12","All BLM Range","2011","15. Estimated BLM range acres with HF = 3",6,"All.BLM.Range",10026571,1237716,0.12,8439819,11613324,"HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3)",12,"BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3)","",1079,151105636,10.026571,8.439819,11.613324,NA
"13","All BLM Range","2011","55. Estimated BLM range acres that meet this condition",22,"All.BLM.Range",42106944,3688633,0.09,37378116,46835772,"AT LEAST 30% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 30% bare ground",43,"BLM rangeland acres (millions) with at least 30% bare ground","",1079,151105636,42.106944,37.378116,46.835772,NA
"14","All BLM Range","2011","22. Estimated % of BLM range acres with SSS = 3",10,"All.BLM.Range",5.83,0.84,0.14,4.76,6.91,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","Year","Percent of BLM rangeland ","percent","Proportion of BLM rangelands with moderate departure from soil and site stability reference conditions (SSS = 3) (80% confidence interval) ",19,"Proportion of BLM rangelands with moderate departure from soil and site stability reference conditions (SSS = 3) (80% confidence interval) ","",1079,151105636,5.83,4.76,6.91,NA
"15","All BLM Range","2011","Estimated % of BLM range acres with SSS >= 3",11,"All.BLM.Range",8.6,0.77,0.09,7.61,9.58,"SOIL AND SITE STABILITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ",21,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ","",1079,151105636,8.6,7.61,9.58,NA
"16","All BLM Range","2011","59. Estimated % of BLM range acres that meet this condition",24,"All.BLM.Range",10.76,1.87,0.17,8.36,13.16,"AT LEAST 50% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with at least 50% bare ground (80% confidence interval) ",46,"Proportion of BLM rangelands with at least 50% bare ground (80% confidence interval) ","",1079,151105636,10.76,8.36,13.16,NA
"17","All BLM Range","2011","39. Estimated BLM range acres that meet this condition",16,"All.BLM.Range",86792146,3334381,0.04,82517470,91066822,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with non-native invasive species present",32,"BLM rangeland acres (millions) with non-native invasive species present","",1079,151105636,86.792146,82.51747,91.066822,NA
"18","All BLM Range","2011","63. Estimated % of BLM range acres that meet this condition",25,"All.BLM.Range",55.67,2.23,0.04,52.81,58.52,"SOIL AGGREGATE STABILITY IS 4 OR LESS (1=LOW; 6=HIGH RESISTANCE TO EROSION)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where soil aggregate stability is ranked 4 or less (80% confidence interval)",48,"Proportion of BLM rangelands where soil aggregate stability is ranked 4 or less (80% confidence interval)","",1079,151105636,55.67,52.81,58.52,NA
"19","All BLM Range","2011","18. Estimated BLM range acres with HF >= 4",8,"All.BLM.Range",4084575,832539,0.2,3017261,5151890,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)",16,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)","",1079,151105636,4.084575,3.017261,5.15189,NA
"20","All BLM Range","2011","10. Estimated % of BLM range acres with HF <= 2",5,"All.BLM.Range",89.66,0.94,0.01,88.45,90.86,"HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ",9,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ","",1079,151105636,89.66,88.45,90.86,NA
