"","Ecoregion","Year","Indicator_Name","Indicator_Number","Ecoregion_name","Value","SE","CV","CI_Lower","CI_Upper","Indicator","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption","BLM.Sample","BLM.Acres","Value2","CI_Lower2","CI_Upper2","Flag"
"417","All BLM Range","2019","49. Percent of Bare Ground on BLM range",20,"All.BLM.Range",23.88,0.96,0.04,22.65,25.12," PERCENT OF BARE GROUND ON BLM RANGE","Year","Percent cover of bare ground on BLM range","percent","Average amount of bare ground on BLM rangelands (80% confidence interval) ",39,"Percent cover of bare ground on BLM rangelands (80% confidence interval) ","",1561,152719786,23.88,22.65,25.12,NA
"418","All BLM Range","2019","Estimated % of BLM range acres with BI >= 3",3,"All.BLM.Range",5.88,1.19,0.2,4.36,7.4,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval)",5,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval)","",1561,152719786,5.88,4.36,7.4,NA
"419","All BLM Range","2019","6. Estimated BLM range acres with BI = 3",2,"All.BLM.Range",5617903,1008430,0.18,4325548,6910257,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate departure from biotic integrity reference conditions (BI = 3) ",4,"BLM rangeland acres (millions) with moderate departure from biotic integrity reference conditions (BI = 3) ","",1561,152719786,5.617903,4.325548,6.910257,NA
"420","All BLM Range","2019","42. Estimated BLM range acres that meet this condition",17,"All.BLM.Range",32748187,2090093,0.06,30069625,35426750,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where non-native invasive species are abundant (>= 25%)",34,"BLM rangeland acres (millions) where non-native invasive species are abundant (>= 25%)","",1561,152719786,32.748187,30.069625,35.42675,NA
"421","All BLM Range","2019","Estimated BLM range acres with BI >= 3",3,"All.BLM.Range",8035740,1599787,0.2,5985531,10085950,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) ",6,"BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) ","",1561,152719786,8.03574,5.985531,10.08595,NA
"422","All BLM Range","2019","31. Estimated % of BLM range acres with all 3 rangeland health attributes >= 4",14,"All.BLM.Range",1.07,0.47,0.44,0.47,1.67,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4) (80% confidence interval) ",27,"Proportion of BLM rangelands where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4) (80% confidence interval) ","",1561,152719786,1.07,0.47,1.67,NA
"423","All BLM Range","2019","10. Estimated % of BLM range acres with HF <= 2",5,"All.BLM.Range",94.48,0.89,0.01,93.34,95.62,"HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ",9,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ","",1561,152719786,94.48,93.34,95.62,NA
"424","All BLM Range","2019","59. Estimated % of BLM range acres that meet this condition",24,"All.BLM.Range",12.46,1.48,0.12,10.57,14.36,"AT LEAST 50% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with at least 50% bare ground (80% confidence interval) ",46,"Proportion of BLM rangelands with at least 50% bare ground (80% confidence interval) ","",1561,152719786,12.46,10.57,14.36,NA
"425","All BLM Range","2019","28. Estimated % of BLM range acres with all 3 rangeland health attributes <= 2",13,"All.BLM.Range",91.84,1.08,0.01,90.45,93.23,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (<=2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2) (80% confidence interval) ",25,"Proportion of BLM rangelands where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2) (80% confidence interval) ","",1561,152719786,91.84,90.45,93.23,NA
"426","All BLM Range","2019","69. Percent Spreading Shaped Sagebrush on BLM range",28,"All.BLM.Range",89.09,1.44,0.02,87.25,90.94," PERCENT SPREADING SHAPED SAGEBRUSH ON BLM RANGE","Year","Percent of sagebrush on BLM-administered lands","percent","Proportion of sagebrush that is spreading shaped on BLM rangelands (80% confidence interval)",53,"Proportion of sagebrush that is spreading shaped on BLM rangelands (80% confidence interval)","",1561,152719786,89.09,87.25,90.94,NA
"427","All BLM Range","2019","19. Estimated % of BLM range acres with SSS <= 2",9,"All.BLM.Range",94.73,0.88,0.01,93.61,95.86,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ",17,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ","",1561,152719786,94.73,93.61,95.86,NA
"428","All BLM Range","2019","37. Estimated % of BLM range acres that meet this condition",16,"All.BLM.Range",65.11,1.62,0.03,63.04,67.19,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with non-native invasive species present (80% confidence interval) ",31,"Proportion of BLM rangelands with non-native invasive species present (80% confidence interval) ","",1561,152719786,65.11,63.04,67.19,NA
"429","All BLM Range","2019","70. Mean Herbaceous Species Height in Inches on BLM range",29,"All.BLM.Range",9.39,0.18,0.02,9.16,9.62," MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE","Year","Inches","inches","Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval)",54,"Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval)","",1561,152719786,9.39,9.16,9.62,NA
"430","All BLM Range","2019","18. Estimated BLM range acres with HF >= 4",8,"All.BLM.Range",1974833,693678,0.35,1085848,2863818,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)",16,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)","",1561,152719786,1.974833,1.085848,2.863818,NA
"431","All BLM Range","2019","33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",14,"All.BLM.Range",1462453,639402,0.44,643026,2281880,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4)",28,"BLM rangeland acres (millions) where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4)","",1561,152719786,1.462453,0.643026,2.28188,NA
"432","All BLM Range","2019","45. Estimated BLM range acres that meet this condition",18,"All.BLM.Range",39741401,3305995,0.08,35504598,43978203,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ",36,"BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ","",1561,152719786,39.741401,35.504598,43.978203,NA
"433","All BLM Range","2019","13. Estimated % of BLM range acres with HF = 3",6,"All.BLM.Range",4.08,0.88,0.22,2.95,5.21,"HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ",11,"Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ","",1561,152719786,4.08,2.95,5.21,NA
"434","All BLM Range","2019","71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range",30,"All.BLM.Range",24.09,0.69,0.03,23.2,24.97," PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE","Year","Percent cover on BLM-administered lands","percent","Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval)",55,"Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval)","",1561,152719786,24.09,23.2,24.97,NA
"435","All BLM Range","2019","58. Estimated BLM range acres that meet this condition",23,"All.BLM.Range",31508071,3035765,0.1,27617581,35398560,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 40% bare ground",45,"BLM rangeland acres (millions) with at least 40% bare ground","",1561,152719786,31.508071,27.617581,35.39856,NA
"436","All BLM Range","2019","Estimated BLM range acres with SSS >= 3",11,"All.BLM.Range",7197960,1185572,0.17,5678588,8717332,"SOIL AND SITE STABILITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) ",22,"BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) ","",1561,152719786,7.19796,5.678588,8.717332,NA
"437","All BLM Range","2019","27. Estimated BLM range acres with SSS >= 4",12,"All.BLM.Range",2680742,755276,0.28,1712817,3648668,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4)",24,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4)","",1561,152719786,2.680742,1.712817,3.648668,NA
"438","All BLM Range","2019","1. Estimated % of BLM range acres with BI <= 2",1,"All.BLM.Range",94.12,1.19,0.01,92.6,95.64,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ","",1561,152719786,94.12,92.6,95.64,NA
"439","All BLM Range","2019","73. Percent Annual Grasses on BLM range",32,"All.BLM.Range",10.28,0.8,0.08,9.25,11.31," PERCENT ANNUAL GRASSES ON BLM RANGE","Year","Percent of foliar cover on BLM-administered lands","percent","Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval)",57,"Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval)","Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae",1561,152719786,10.28,9.25,11.31,NA
"440","All BLM Range","2019","34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",15,"All.BLM.Range",6.24,0.8,0.13,5.22,7.27,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3) (80% confidence interval) ",29,"Proportion of BLM rangelands where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3) (80% confidence interval) ","",1561,152719786,6.24,5.22,7.27,NA
"441","All BLM Range","2019","Estimated % of BLM range acres with SSS >= 3",11,"All.BLM.Range",5.27,0.88,0.17,4.14,6.39,"SOIL AND SITE STABILITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ",21,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ","",1561,152719786,5.27,4.14,6.39,NA
"442","All BLM Range","2019","25. Estimated % of BLM range acres with SSS >= 4",12,"All.BLM.Range",1.96,0.56,0.29,1.25,2.68,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ","",1561,152719786,1.96,1.25,2.68,NA
"443","All BLM Range","2019","40. Estimated % of BLM range acres that meet this condition",17,"All.BLM.Range",21.44,1.37,0.06,19.68,23.21,"25% OR GREATER OF FOLIAGE COMPOSED OF NON-NATIVE INVASIVE SPECIES","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where non-native invasive species are abundant (>= 25%) (80% confidence interval) ",33,"Proportion of BLM rangelands where >= 25% of foliar cover is comprised of non-native invasive species (80% confidence interval) ","",1561,152719786,21.44,19.68,23.21,NA
"444","All BLM Range","2019","61. Estimated BLM range acres that meet this condition",24,"All.BLM.Range",19036159,2306976,0.12,16079649,21992668,"AT LEAST 50% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 50% bare ground",47,"BLM rangeland acres (millions) with at least 50% bare ground","",1561,152719786,19.036159,16.079649,21.992668,NA
"445","All BLM Range","2019","55. Estimated BLM range acres that meet this condition",22,"All.BLM.Range",49308755,2947931,0.06,45530829,53086681,"AT LEAST 30% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 30% bare ground",43,"BLM rangeland acres (millions) with at least 30% bare ground","",1561,152719786,49.308755,45.530829,53.086681,NA
"446","All BLM Range","2019","66. Percent Foliar Cover of Sagebrush on BLM range",25,"All.BLM.Range",8.31,0.45,0.05,7.74,8.88," PERCENT FOLIAR COVER OF SAGEBRUSH ON BLM RANGE","Year","Percent cover on BLM-administered lands","percent","Average foliar cover of sagebrush on BLM rangelands (80% confidence interval) ",50,"Percent cover of sagebrush on BLM rangelands (80% confidence interval) ","",1561,152719786,8.31,7.74,8.88,NA
"447","All BLM Range","2019","3. Estimated BLM range acres with BI <= 2",1,"All.BLM.Range",128610483,2421846,0.02,125506763,131714203,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2)",2,"BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2)","",1561,152719786,128.610483,125.506763,131.714203,NA
"448","All BLM Range","2019","53. Estimated % of BLM range acres that meet this condition",22,"All.BLM.Range",32.29,1.88,0.06,29.88,34.7,"AT LEAST 30% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 30% bare ground (80% confidence interval) ",42,"Proportion of BLM rangelands with at least 30% bare ground (80% confidence interval) ","",1561,152719786,32.29,29.88,34.7,NA
"449","All BLM Range","2019","24. Estimated BLM range acres with SSS = 3",10,"All.BLM.Range",4517218,1132717,0.25,3065583,5968852,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate departure from soil and site stability reference conditions (SSS = 3)",20,"BLM rangeland acres (millions) with moderate departure from soil and site stability reference conditions (SSS = 3)","",1561,152719786,4.517218,3.065583,5.968852,NA
"450","All BLM Range","2019","48. Estimated BLM range acres that meet this condition",19,"All.BLM.Range",16256108,2449700,0.15,13116691,19395525,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M AND THE GAPS ARE AT LEAST 50% BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters and gaps are at least 50% bare ground",38,"BLM rangeland acres (millions) where at least 20% of land has intercanopy gaps of at least 2 meters and at least 50% bare ground","",1561,152719786,16.256108,13.116691,19.395525,NA
"451","All BLM Range","2019","52. Estimated BLM range acres that meet this condition",21,"All.BLM.Range",73193875,3962306,0.05,68115976,78271774,"AT LEAST 20% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% bare ground",41,"BLM rangeland acres (millions) with at least 20% bare ground","",1561,152719786,73.193875,68.115976,78.271774,NA
"452","All BLM Range","2019","56. Estimated % of BLM range acres that meet this condition",23,"All.BLM.Range",20.63,1.93,0.09,18.16,23.11,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ",44,"Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ","",1561,152719786,20.63,18.16,23.11,NA
"453","Arizona/ New Mexico Mountains","2011","Estimated % of BLM range acres with SSS >= 3",11,"ARIZONA.NEW.MEXICO.MOUNTAINS",17.35,19.69,1.13,0,42.59,"SOIL AND SITE STABILITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ",21,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) (80% confidence interval) ","",20,1147998,17.35,0,42.59,NA
"454","Arizona/ New Mexico Mountains","2011","40. Estimated % of BLM range acres that meet this condition",17,"ARIZONA.NEW.MEXICO.MOUNTAINS",0,0,0,0,0,"25% OR GREATER OF FOLIAR COVER COMPOSED OF NON-NATIVE INVASIVE SPECIES","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where non-native invasive species are abundant (>= 25%) (80% confidence interval) ",33,"Proportion of BLM rangelands where >= 25% of foliar cover is comprised of non-native invasive species (80% confidence interval) ","",20,1147998,0,0,0,NA
"455","Arizona/ New Mexico Mountains","2011","16. Estimated % of BLM range acres with HF >= 4",8,"ARIZONA.NEW.MEXICO.MOUNTAINS",17.35,19.69,1.13,0,42.59,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ",15,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ","",20,1147998,17.35,0,42.59,NA
"456","Arizona/ New Mexico Mountains","2011","39. Estimated BLM range acres that meet this condition",16,"ARIZONA.NEW.MEXICO.MOUNTAINS",637033,402618,0.63,120877,1153188,"NON-NATIVE INVASIVE SPECIES ARE PRESENT","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with non-native invasive species present",32,"BLM rangeland acres (millions) with non-native invasive species present","",20,1147998,0.637033,0.120877,1.153188,NA
"457","Arizona/ New Mexico Mountains","2011","21. Estimated BLM range acres with SSS <= 2",9,"ARIZONA.NEW.MEXICO.MOUNTAINS",948839,196282,0.21,697205,1200472,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ",18,"BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) ","",20,1147998,0.948839,0.697205,1.200472,NA
"458","Arizona/ New Mexico Mountains","2011","58. Estimated BLM range acres that meet this condition",23,"ARIZONA.NEW.MEXICO.MOUNTAINS",0,0,0,0,0,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 40% bare ground",45,"BLM rangeland acres (millions) with at least 40% bare ground","",20,1147998,0,0,0,NA
"459","Arizona/ New Mexico Mountains","2011","45. Estimated BLM range acres that meet this condition",18,"ARIZONA.NEW.MEXICO.MOUNTAINS",697197,301343,0.43,310875,1083519,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ",36,"BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters in length ","",20,1147998,0.697197,0.310875,1.083519,NA
"460","Arizona/ New Mexico Mountains","2011","61. Estimated BLM range acres that meet this condition",24,"ARIZONA.NEW.MEXICO.MOUNTAINS",0,0,0,0,0,"AT LEAST 50% OF THE LAND IS BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 50% bare ground",47,"BLM rangeland acres (millions) with at least 50% bare ground","",20,1147998,0,0,0,NA
"461","Arizona/ New Mexico Mountains","2011","7. Estimated % of BLM range acres with BI >= 4",4,"ARIZONA.NEW.MEXICO.MOUNTAINS",17.35,19.69,1.13,0,42.59,"BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval)",7,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval)","",20,1147998,17.35,0,42.59,NA
"462","Arizona/ New Mexico Mountains","2011","19. Estimated % of BLM range acres with SSS <= 2",9,"ARIZONA.NEW.MEXICO.MOUNTAINS",82.65,19.69,0.24,57.41,100,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ",17,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ","",20,1147998,82.65,57.41,100,NA
"463","Arizona/ New Mexico Mountains","2011","56. Estimated % of BLM range acres that meet this condition",23,"ARIZONA.NEW.MEXICO.MOUNTAINS",0,0,0,0,0,"AT LEAST 40% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ",44,"Proportion of BLM rangelands with at least 40% bare ground (80% confidence interval) ","",20,1147998,0,0,0,NA
"464","Arizona/ New Mexico Mountains","2011","18. Estimated BLM range acres with HF >= 4",8,"ARIZONA.NEW.MEXICO.MOUNTAINS",199160,224756,1.13,0,487297,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)",16,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4)","",20,1147998,0.19916,0,0.487297,NA
"465","Arizona/ New Mexico Mountains","2011","25. Estimated % of BLM range acres with SSS >= 4",12,"ARIZONA.NEW.MEXICO.MOUNTAINS",17.35,19.69,1.13,0,42.59,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ","",20,1147998,17.35,0,42.59,NA
"466","Arizona/ New Mexico Mountains","2011","9. Estimated BLM range acres with BI >= 4",4,"ARIZONA.NEW.MEXICO.MOUNTAINS",199160,224756,1.13,0,487297,"BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4)",8,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4)","",20,1147998,0.19916,0,0.487297,NA
