Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,6.86,1.93,0.28,4.38,9.33,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1.63,1.05,0.64,0.29,2.98,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1.96,0.96,0.49,0.73,3.19,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1.57,1.64,1.04,0,3.66,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,3.26,1.91,0.58,0.82,5.71,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,5.45,1.91,0.35,3,7.89,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
7. Estimated % of BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,2.67,1.08,0.41,1.29,4.06,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),7,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,9.17,0.3,0.03,8.78,9.55,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2017,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,8.53,0.23,0.03,8.24,8.83,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2016,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,29,EASTERN.COLD.DESERTS,Eastern Cold Deserts,9.51,0.32,0.03,9.1,9.93, MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2019,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,8.2,0.38,0.05,7.7,8.69,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2018,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,8.12,0.3,0.04,7.74,8.5,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2014,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,9.63,0.33,0.03,9.21,10.06,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2015,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
70. Mean Herbaceous Species Height in Inches on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,6.77,0.35,0.05,6.32,7.22,MEAN HERBACEOUS SPECIES HEIGHT IN INCHES ON BLM RANGE,2012,Year,Inches,inches,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),54,Mean herbaceous plant species height in inches on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,23.32,1.68,0.07,21.17,25.47,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2018,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,25.37,1.32,0.05,23.68,27.07,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2017,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,21.28,1.37,0.06,19.52,23.04,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2014,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,19.8,1.46,0.07,17.93,21.67,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2015,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,22.07,1.15,0.05,20.6,23.54,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2016,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,30,EASTERN.COLD.DESERTS,Eastern Cold Deserts,27.02,2.37,0.09,23.98,30.05, PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2019,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
71. Percent Foliar Cover of Perennial Grass and Perennial Forb on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,19.68,1.86,0.09,17.3,22.06,PERCENT FOLIAR COVER OF PERENNIAL GRASS AND PERENNIAL FORB ON BLM RANGE,2012,Year,Percent cover on BLM-administered lands,percent,Proportion of vegetation composed of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),55,Percent cover of perennial grasses and perennial forbs on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,27.88,0.99,0.04,26.61,29.15,PERCENT OF BARE GROUND ON BLM RANGE,2016,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,27.86,1.18,0.04,26.35,29.37,PERCENT OF BARE GROUND ON BLM RANGE,2018,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,28.55,1.15,0.04,27.08,30.02,PERCENT OF BARE GROUND ON BLM RANGE,2017,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,32.89,1.53,0.05,30.93,34.85,PERCENT OF BARE GROUND ON BLM RANGE,2015,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,34.35,1.43,0.04,32.51,36.19,PERCENT OF BARE GROUND ON BLM RANGE,2014,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,31,EASTERN.COLD.DESERTS,Eastern Cold Deserts,27.6,1.33,0.05,25.89,29.3, PERCENT OF BARE GROUND ON BLM RANGE,2019,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
72. Percent of Bare Ground on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,33.34,2.1,0.06,30.65,36.04,PERCENT OF BARE GROUND ON BLM RANGE,2012,Year,Percent cover on BLM-administered lands,percent,Proportion of land composed of bare ground on BLM rangelands (80% confidence interval),56,Percent cover of bare ground on BLM rangelands (80% confidence interval),
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,4.41,1.04,0.24,3.08,5.74,PERCENT ANNUAL GRASSES ON BLM RANGE,2015,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,5.61,0.83,0.15,4.55,6.67,PERCENT ANNUAL GRASSES ON BLM RANGE,2016,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,7.64,1.49,0.2,5.73,9.55,PERCENT ANNUAL GRASSES ON BLM RANGE,2018,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,8.71,1.42,0.16,6.89,10.52,PERCENT ANNUAL GRASSES ON BLM RANGE,2017,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,4.42,1.26,0.29,2.81,6.03,PERCENT ANNUAL GRASSES ON BLM RANGE,2014,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,3.26,1.25,0.39,1.65,4.87,PERCENT ANNUAL GRASSES ON BLM RANGE,2012,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
73. Percent Annual Grasses on BLM range,32,EASTERN.COLD.DESERTS,Eastern Cold Deserts,4.4,0.75,0.17,3.43,5.36, PERCENT ANNUAL GRASSES ON BLM RANGE,2019,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),57,Proportion of vegetation composed of annual grasses on BLM rangelands (80% confidence interval),"Annual grasses include: Bromus tectorum, Taeniatherum caput-medusae"
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,7.18,1,0.14,5.9,8.47,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2016,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,5.97,1.09,0.18,4.57,7.37,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2015,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,8.82,1.54,0.17,6.85,10.79,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2018,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,9.54,1.53,0.16,7.57,11.5,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2017,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,6.31,1.49,0.24,4.4,8.21,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2014,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,34,EASTERN.COLD.DESERTS,Eastern Cold Deserts,4.68,1.48,0.32,2.78,6.57,PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2012,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
74. Percent Non-Native Invasive Plant Species on BLM range,33,EASTERN.COLD.DESERTS,Eastern Cold Deserts,5.98,0.87,0.15,4.87,7.1, PERCENT NON-NATIVE INVASIVE PLANT SPECIES ON BLM RANGE,2019,Year,Percent of foliar cover on BLM-administered lands,percent,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),58,Proportion of vegetation composed of non-native invasive plant species on BLM rangelands (80% confidence interval),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,2239200,622745,0.28,1441121,3037279,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1042870,616909,0.59,252269,1833470,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,626938,309567,0.49,230073,1023803,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,557034,358448,0.64,97665,1016403,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,516640,539570,1.04,0,1208127,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1561529,487083,0.31,937308,2185751,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,1917964,647768,0.34,1087815,2748112,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
9. Estimated BLM range acres with BI >= 4,4,EASTERN.COLD.DESERTS,Eastern Cold Deserts,963549,386892,0.4,467727,1459372,BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),8,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,6.83,1.7,0.25,4.65,9.01,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,13.18,3.05,0.23,9.27,17.08,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,3.82,1.75,0.46,1.58,6.07,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,10.89,2.44,0.22,7.76,14.02,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,20.25,3.3,0.16,16.02,24.48,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,16.56,2.7,0.16,13.1,20.01,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
Estimated % of BLM range acres with BI >= 3,3,EASTERN.COLD.DESERTS,Eastern Cold Deserts,13.7,2.19,0.16,10.9,16.51,BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),5,Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval),
