Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,90.29,0.9,0.01,89.14,91.45,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,92.09,0.77,0.01,91.1,93.07,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,89.97,1.15,0.01,88.5,91.44,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,89.66,0.94,0.01,88.45,90.86,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,89.62,0.92,0.01,88.44,90.8,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,93.1,1.17,0.01,91.61,94.6,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,125629681,1848742,0.02,123260422,127998939,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,116839979,2438159,0.02,113715352,119964606,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,120022162,1965609,0.02,117503132,122541191,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
12. Estimated BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,133065648,2171289,0.02,130283030,135848267,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,10,BLM rangeland acres (millions) with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) ,
