Indicator_Name,Indicator_Number,State,Type,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
13. Estimated % of BLM range acres with HF = 3,6,BLM,NA,8.18,0.93,0.11,6.99,9.37,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,BLM,NA,6.74,0.64,0.10,5.92,7.56,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,BLM,1,5.81,0.80,0.14,4.79,6.83,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,BLM,2,5.58,1.32,0.24,3.89,7.27,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
13. Estimated % of BLM range acres with HF = 3,6,BLM,2,6.77,0.97,0.14,5.53,8.01,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,11,Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ,
15. Estimated BLM range acres with HF = 3,6,BLM,2,9702001.00,1374314.00,0.14,7940747.00,11463255.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,15600769.00,2280383.00,0.15,12678341.00,18523197.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,4151924.00,571713.00,0.14,3419245.00,4884604.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,10515249.00,1211070.00,0.12,8963201.00,12067297.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,7739198.00,1138849.00,0.15,6279704.00,9198691.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,6812216.00,1217225.00,0.18,5251734.00,8372699.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,12101123.00,1384491.00,0.11,10326826.00,13875420.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,11448845.00,2111049.00,0.18,8743427.00,14154262.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,3214355.00,672443.00,0.21,2352283.00,4076427.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,2776051.00,285424.00,0.10,2410266.00,3141836.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,3026133.00,412279.00,0.14,2497776.00,3554489.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,2399122.00,311206.00,0.13,2000295.00,2797949.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2014,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,10024391.00,915994.00,0.09,8850498.00,11198284.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,9322814.00,867877.00,0.09,8210584.00,10435044.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,859729.00,325484.00,0.38,442605.00,1276854.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,5850387.00,803340.00,0.14,4820865.00,6879908.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,10026571.00,1237716.00,0.12,8439819.00,11613324.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,6998258.00,972821.00,0.14,5751538.00,8244978.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,4650492.00,1114906.00,0.24,3221682.00,6079302.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,3472427.00,434167.00,0.13,2916019.00,4028835.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,1,1749009.00,382484.00,0.22,1258835.00,2239182.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,5572624.00,1202417.00,0.22,4031665.00,7113584.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,NA,6399501.00,1206749.00,0.19,4852989.00,7946012.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,BLM,2,4712895.00,1102199.00,0.23,3300370.00,6125420.00,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,3.47,0.74,0.21,2.52,4.42,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,2.99,0.60,0.20,2.22,3.77,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,0.21,0.21,1.00,0.00,0.49,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,4.55,0.98,0.22,3.29,5.81,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,4.40,1.28,0.29,2.76,6.05,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,1.49,0.42,0.28,0.95,2.03,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,3.04,0.83,0.27,1.97,4.11,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,1.96,0.45,0.23,1.39,2.54,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,1.10,0.29,0.26,0.73,1.47,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,2.26,0.98,0.43,1.00,3.51,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,0.85,0.27,0.32,0.51,1.20,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,3.49,0.87,0.25,2.37,4.60,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,1.17,0.52,0.44,0.51,1.84,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,0.20,0.14,0.69,0.02,0.37,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,2.53,0.58,0.23,1.79,3.27,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,1.45,0.51,0.35,0.79,2.10,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,1.85,0.64,0.34,1.04,2.67,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,3.57,1.05,0.29,2.23,4.91,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,0.00,0.00,0.00,0.00,0.00,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,1,0.11,0.11,1.00,0.00,0.24,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,1.76,0.81,0.46,0.72,2.80,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,2.25,0.65,0.29,1.41,3.09,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,NA,2.50,0.55,0.22,1.80,3.20,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,BLM,2,2.34,0.83,0.36,1.27,3.40,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
18. Estimated BLM range acres with HF >= 4,8,BLM,1,104698.00,105292.00,1.01,0.00,239682.00,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,BLM,2,2719947.00,741975.00,0.27,1769067.00,3670826.00,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,BLM,NA,4761595.00,1004924.00,0.21,3473733.00,6049457.00,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
