"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption"
"1. Estimated % of BLM range acres with BI <= 2",1,"OR",1,83.86,3.42,0.04,79.48,88.24," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"OR",2,83.31,8.2,0.1,72.8,93.81," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"SD",2,100,96.55,0.97,0,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"UT",1,75.45,5.99,0.08,67.77,83.12," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"UT",2,56.4,6.89,0.12,47.57,65.24," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WA",2,0,0,0,0,0," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WY",1,90.21,2.72,0.03,86.73,93.7," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"WY",2,100,0,0,100,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"UT",1,95.23,5.15,0.05,88.63,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"UT",2,84.6,3.42,0.04,80.21,88.99,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"WA",2,50,49.13,0.98,0,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",0,"WY",1,95.73,1.05,0.01,94.38,97.08,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
