"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption"
"25. Estimated % of BLM range acres with SSS >= 4",11,"CA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2016,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CO",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2016,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"UT",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"AZ",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"WA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"WY",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"WY",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CO",2,4.09,4.23,1.03,0,9.51,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"ID",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"ID",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NV",1,0.67,0.45,0.68,0.09,1.25,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NV",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NM",2,14.36,5.9,0.41,6.8,21.93,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"ND",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"OR",1,1.15,0.83,0.72,0.09,2.21,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"OR",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"SD",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"UT",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"OR",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"SD",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"WY",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"WY",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2014,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"WA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"BLM",NA,2.6,0.73,0.28,1.67,3.54,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"AZ",2,1.86,1.92,1.03,0,4.32,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2018,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"BLM",NA,1.96,0.56,0.29,1.25,2.68,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"AZ",2,2.39,2.48,1.04,0,5.57,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"CA",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"CA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"CO",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"CO",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"ID",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"MT",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NV",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NV",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"NM",2,27.15,7.74,0.29,17.23,37.06,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"ND",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"OR",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"OR",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"OR",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",12,"SD",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2019,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"BLM",NA,2.26,0.57,0.25,1.53,3,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"WA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2017,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CA",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CA",2,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"CO",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
"25. Estimated % of BLM range acres with SSS >= 4",11,"UT",1,0,0,0,0,0,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)",2015,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",""
